id,Date,Ticker,Open,Close,High,Low,Volume
760,2025-04-25,GOOG,166.52,163.29,167.66,162.44,35148100
761,2025-04-28,GOOG,163.69,161.86,164.38,159.83,20871200
762,2025-04-29,GOOG,161.49,161.5,162.12,158.84,15955200
763,2025-04-30,GOOG,159.31,160.34,160.82,156.61,20639500
764,2025-05-01,GOOG,161.96,162.23,163.38,160.38,21904300
765,2025-05-02,GOOG,164.39,165.24,166.13,163.1,16844900
766,2025-05-05,GOOG,163.95,165.48,166.52,163.9,15309300
767,2025-05-06,GOOG,163.4,164.63,166.17,162.57,10691900
768,2025-05-07,GOOG,165.5,152.27,166.41,148.97,78729800
769,2025-05-08,GOOG,155.38,155.21,156.87,153.57,38387500
770,2025-05-09,GOOG,155.01,153.85,155.89,153.3,22871000
771,2025-05-12,GOOG,158.55,159.03,159.89,157.35,31884900
772,2025-05-13,GOOG,159.37,160.34,161.5,157.04,24944300
773,2025-05-14,GOOG,160.75,166.24,167.76,160.38,31769200
774,2025-05-15,GOOG,166.56,164.83,166.93,163.28,22717600
775,2025-05-16,GOOG,168.35,166.85,170.06,166.37,36271400
776,2025-05-19,GOOG,165.14,167.29,167.37,164.85,21374700
777,2025-05-20,GOOG,167.18,164.75,169.1,163.69,33563300
778,2025-05-21,GOOG,164.38,169.47,173.93,164.32,45567600
779,2025-05-22,GOOG,172.75,171.39,177.52,171.29,45024100
780,2025-05-23,GOOG,169.69,169.01,170.62,168.68,24963600
781,2025-05-27,GOOG,170.71,173.38,173.69,170.62,24341300
782,2025-05-28,GOOG,173.38,172.78,175.87,172.42,25999200
783,2025-05-29,GOOG,174.4,172.36,174.8,171.19,21174700
784,2025-05-30,GOOG,171.82,172.25,172.84,167.94,36258300
785,2025-06-02,GOOG,168.43,169.78,170.47,168.07,24742900
786,2025-06-03,GOOG,168.28,167.13,169.21,166.11,25386700
787,2025-06-04,GOOG,167.7,168.81,169.0,167.22,18508700
788,2025-06-05,GOOG,171.03,169.22,171.77,168.77,25375400
789,2025-06-06,GOOG,171.71,174.32,175.22,171.71,22258100
790,2025-06-09,GOOG,175.47,177.23,177.52,175.27,18817600
791,2025-06-10,GOOG,177.36,179.61,182.03,176.08,32908000
792,2025-06-11,GOOG,180.82,178.39,181.34,177.6,18994400
793,2025-06-12,GOOG,177.08,176.57,177.73,175.71,17345900
794,2025-06-13,GOOG,173.19,175.48,177.94,173.18,20873200
795,2025-06-16,GOOG,175.51,177.54,177.84,175.42,18132500
796,2025-06-17,GOOG,176.6,176.83,178.31,175.54,17656100
797,2025-06-18,GOOG,176.88,173.59,177.42,172.45,32531800
798,2025-06-20,GOOG,174.47,167.35,174.97,165.9,55402600
